Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
158,148,19,3,135,5,4,19,1,26,1,21,80,2010,166,162
127,140,181,3,63,5,4,18,1,25,1,7,36,2010,185,190
112,140,181,3,21,4,0,17,1,23,0,4,214,2012,242,242
143,253,212,1,49,6,6,15,1,21,0,6,134,2011,365,420
188,85,13,1,43,6,5,21,1,28,0,6,27,2010,171,171
109,228,125,3,20,6,7,17,1,28,1,4,212,2012,323,278
212,108,135,3,31,6,5,15,1,25,0,4,113,2011,430,424
181,125,209,3,59,6,5,10,0,15,0,6,132,2011,310,365
188,140,206,1,21,4,0,16,1,21,0,4,214,2012,242,242
120,140,181,3,24,4,0,14,1,20,0,4,214,2012,300,320
13,14,229,2,137,4,0,25,1,32,0,22,195,2011,132,128
161,10,214,1,28,6,6,15,1,21,0,4,119,2011,320,335
9,211,133,3,34,5,2,16,1,23,0,5,122,2011,290,260
160,62,221,1,97,5,4,22,1,28,1,12,164,2011,172,165
8,41,79,1,101,6,7,15,1,19,1,12,165,2011,202,237
190,55,46,2,115,6,7,20,1,29,1,15,64,2010,170,167
181,245,209,1,59,6,5,9,0,13,0,6,132,2011,310,365
102,89,234,1,150,6,6,13,1,18,0,22,87,2010,381,401
158,16,217,3,76,6,6,14,1,20,0,7,41,2010,403,417
212,108,135,3,31,6,7,16,1,26,1,4,112,2011,430,424
77,185,240,3,72,6,6,11,0,16,0,7,145,2011,315,335
168,125,209,3,59,6,5,14,1,20,0,6,234,2012,310,365
52,20,57,1,125,5,3,14,1,20,0,17,270,2012,266,288
82,102,237,1,23,4,0,10,0,13,0,4,21,2010,302,305
115,184,224,3,39,5,2,14,1,20,0,5,125,2011,390,407
165,233,41,2,42,6,7,22,1,31,1,6,32,2010,175,172
115,72,227,3,126,5,2,13,1,18,0,17,181,2011,317,385
247,200,105,0,156,6,6,16,1,23,0,24,286,2012,240,236
114,12,247,0,1,6,7,19,1,26,1,0,92,2011,300,300
139,174,24,3,1,6,7,17,1,26,1,0,2,2010,300,300
190,242,219,2,114,6,7,20,1,28,1,15,174,2011,167,168
127,62,221,2,97,5,4,23,1,28,1,12,164,2011,172,165
135,23,214,0,11,6,6,10,0,14,0,3,210,2012,403,417
130,184,224,1,39,5,2,13,1,19,0,5,125,2011,390,407
115,184,224,3,39,5,2,14,1,20,0,5,26,2010,390,407
50,116,224,3,53,4,0,10,0,12,0,6,126,2011,225,286
195,66,54,2,81,5,2,21,1,31,0,9,43,2010,190,162
214,221,191,0,142,6,6,17,1,23,0,22,279,2012,266,245
193,251,49,3,8,6,6,18,1,27,0,3,98,2011,304,273
195,62,203,0,133,5,4,20,1,27,1,20,187,2011,170,170
82,70,240,1,69,4,0,13,1,18,0,7,38,2010,302,305
247,200,105,0,156,6,6,16,1,23,0,24,286,2012,240,236
77,185,237,3,26,6,5,11,0,16,0,4,21,2010,315,335
249,165,102,1,141,4,0,18,1,21,0,22,199,2011,159,180
77,185,240,1,72,6,5,11,0,16,0,7,38,2010,315,335
95,45,212,3,49,6,6,16,1,22,0,6,134,2011,365,420
181,140,206,1,70,4,0,14,1,19,0,7,36,2010,300,320
181,22,206,1,21,4,0,17,1,23,0,4,214,2012,242,242
158,16,217,1,28,6,6,15,1,21,0,4,118,2011,320,335
148,51,226,3,52,5,4,16,1,21,1,6,140,2011,207,238
