Days since outbreak,Location.Retail,Location.Grocery,Location.Parks,Location.Public transport,Location.Workplace,Location.Residential
197,-5.857,-0.857,18.571,-17.857,-18.286,1.857
195,4.286,7.0,116.0,-15.714,-14.714,0.571
127,-48.286,0.286,13.571,-37.429,-32.857,11.143
109,-65.857,-37.0,-44.857,-69.0,-66.286,20.714
196,-34.429,-16.571,-29.286,-53.0,-29.143,17.571
142,-17.286,-3.286,-22.571,-21.571,2.429,3.857
83,-38.429,-14.714,-32.0,-38.0,-20.286,10.571
111,-40.286,-12.0,38.286,-57.714,-39.429,15.0
196,5.714,-0.286,0.286,-13.286,1.429,3.714
68,3.429,1.857,-4.857,0.143,10.429,-0.143
