Days since outbreak,Location.Retail,Location.Grocery,Location.Parks,Location.Public transport,Location.Workplace,Location.Residential
66,-1.0,2.857,-1.143,-10.0,2.857,1.286
193,-39.286,-27.571,-40.0,-42.857,-36.571,19.429
83,-82.571,-61.714,-77.286,-81.429,-74.857,34.714
50,-2.333,-6.333,-4.5,-9.0,7.667,0.333
200,-15.714,-20.0,-14.286,-28.714,-25.857,6.429
152,-30.857,-11.857,23.286,-33.0,-18.571,7.714
122,-65.714,-35.429,-45.143,-73.857,-61.714,30.429
223,-54.143,-15.143,-76.143,-50.714,-22.429,15.857
83,-66.429,-25.143,-46.429,-52.143,-52.429,23.857
57,1.429,0.286,-6.571,-0.857,2.714,-1.143
225,-7.429,1.143,142.857,-17.714,-23.857,3.143
214,-12.857,1.143,-2.857,-23.286,-11.143,6.0
63,4.286,8.0,7.714,7.857,11.286,-1.143
102,-63.857,-38.286,-55.286,-57.571,-51.857,27.714
193,-1.143,-1.0,116.143,-34.857,-21.429,5.429
110,-72.143,-45.0,-41.571,-72.429,-68.571,24.571
63,5.857,6.571,12.429,3.571,3.143,0.286
119,-49.429,-21.571,5.714,-62.714,-52.143,19.286
139,-73.429,-51.714,-66.143,-71.429,-62.857,34.429
130,-31.429,-10.286,16.714,-39.714,-30.571,11.857
187,5.857,17.857,11.143,4.714,-0.571,9.429
194,-61.286,-46.571,-53.571,-63.0,-46.143,26.571
213,-16.143,-5.571,147.714,-15.571,-32.714,2.857
204,-25.143,-6.571,-17.143,-46.857,-27.857,12.571
214,-40.429,-22.429,-39.143,-51.429,-38.0,16.857
85,-78.857,-54.286,-70.143,-75.286,-65.857,30.714
72,-4.143,3.714,5.143,-7.571,-2.286,2.143
197,-21.286,15.286,-20.429,-24.286,-13.0,11.286
221,15.857,2.857,311.857,-10.286,-26.143,1.0
191,-8.286,3.857,-7.571,-21.714,-7.286,8.0
170,-1.714,9.143,30.714,-7.429,-7.857,-0.571
95,-31.0,-11.0,50.857,-56.429,-45.571,15.714
111,-64.714,-36.429,-76.143,-79.0,-52.571,28.857
140,-38.143,-12.571,48.0,-36.571,-22.571,8.714
59,-0.429,0.286,0.857,-6.286,-1.143,1.857
150,-40.429,-17.714,-24.143,-35.857,-34.0,14.429
134,-21.143,-5.143,-18.429,-47.857,-10.571,9.571
137,-58.714,-39.429,-43.857,-65.857,-49.714,22.429
171,-17.429,-11.143,34.429,-29.571,-21.143,5.0
69,4.857,9.714,-1.143,1.714,8.286,-0.429
166,-31.143,-12.0,7.286,-38.143,-27.571,9.571
144,-40.0,-22.857,-33.286,-42.0,-23.429,14.286
61,0.0,0.714,2.857,-1.714,-1.286,1.429
186,-47.429,-13.571,30.714,-46.429,-38.857,14.286
100,-65.857,-26.714,-50.286,-66.429,-49.857,22.571
207,-18.429,-8.0,-12.857,-38.286,-24.0,8.571
125,-41.714,-23.571,-13.429,-54.857,-26.286,10.857
127,-75.857,-69.286,-47.286,-68.571,-57.0,35.429
163,-13.429,-6.714,96.571,-31.429,-24.571,5.429
135,-33.143,-4.714,35.571,-51.143,-28.286,11.571
