Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
105,72,227,3,126,5,2,13,1,18,0,17,181,2011,317,385
173,63,92,2,108,6,6,21,1,29,0,13,166,2011,175,169
117,105,214,2,77,5,4,26,1,34,1,9,152,2011,140,128
82,70,237,1,27,6,5,11,0,16,0,4,117,2011,315,338
183,40,67,3,3,6,7,15,1,22,1,0,94,2011,400,450
22,60,219,3,68,6,5,11,1,17,0,7,242,2012,280,295
177,202,244,2,153,6,5,23,1,30,0,23,91,2010,170,177
234,99,57,1,124,5,2,14,1,19,0,17,68,2010,261,281
85,215,237,3,22,4,0,15,1,20,0,4,117,2011,195,260
138,176,237,1,149,6,6,13,1,17,0,22,90,2010,381,401
